,Hotel Name,Address,Rating (5),Price (2)
0,Coal Barbecues,"BT Nagar, Central Chennai",4.1,1800
1,Jalpaan,JS West Chennai,4.1,1200
2,ABs - Absolute Barbecues,"BS Devi Park Hotel,Thyagaraya Nagar, Central Chennai",4.2,1850
3,Trella,"TJ Hotel,Thyagaraya Nagar, Central Chennai",4.1,1500
4,Hotel Saravana Bhavan,"BT Nagar, Central Chennai",4.0,600
5,Take 2,"2T Cine City hotel,Kodambakkam, West Chennai",4.3,1700
6,Pulusu,"PT Nagar, Central Chennai",4.0,800
7,Puducherry Hotel Sri Kamatchi,"KA Nagar, West Chennai",4.0,600
8,Arab Street,"SA Nagar, West Chennai",4.2,800
9,Madras Coffee House,"HT Nagar, Central Chennai",5.0,200
10,Idlies,"IT Nagar, Central Chennai",4.5,300
11,Paati Veedu,"VT Nagar, Central Chennai",4.0,1500
12,Barbeque Nation,"NT Nagar, Central Chennai",4.2,1800
13,Big Bang Theory - Bar & Kitchen,"KB Star Boutique Hotel,Kodambakkam, West Chennai",4.1,2000
14,Watson's,"WT Nagar, Central Chennai",4.2,1600
15,Spice Bar,"BT Nagar, Central Chennai",4.3,1500
16,ABs - Absolute Barbecues,"BT Nagar, Central Chennai",4.2,1800
17,Pakwan Chennai,"CT Nagar, Central Chennai",4.5,800
18,Chin Chin,"CT Residency,Thyagaraya Nagar, Central Chennai",4.4,1500
19,Express By A,"AB Nagar, Central Chennai",5.0,600
20,Curly Cravings,CK West Chennai,4.1,500
21,Chai Waale,"WT Nagar, Central Chennai",4.0,200
22,Pavilion,"PT Residency,Thyagaraya Nagar, Central Chennai",4.1,1500
23,Royal Indianaa,"IT Accord Metropolitan Hotel,Thyagaraya Nagar, Central Chennai",4.6,2400
24,Juice Forest,"FA Nagar, West Chennai",4.1,300
25,Kuuraku,"KH Green Park,Vadapalani, West Chennai",4.3,1000
26,BR Mathsya,"MT Nagar, Central Chennai",4.0,1000
27,Cafe Central,"CT Nagar, Central Chennai",4.3,800
28,Black And White,"WT Residency,Thyagaraya Nagar, Central Chennai",4.4,1500
29,Southern Station,"ST Nagar, Central Chennai",4.0,800
30,The Godown Bar,"BT Nagar, Central Chennai",4.1,1800
31,La Cabana,"CH Park Elanza,Nungambakkam, Central Chennai",4.5,2000
32,Lexxus,"LH Benzz Park,Thyagaraya Nagar, Central Chennai",4.0,1800
33,Cake Waves,"WA Nagar, West Chennai",5.0,500
34,Ferraree,"FH Benzz Park,Thyagaraya Nagar, Central Chennai",4.0,900
35,Dindigul Thalappakatti,"TT Nagar, Central Chennai",4.1,700
36,Texas,"TJ Hotel,Thyagaraya Nagar, Central Chennai",4.0,1000
37,Madras Coffee House,HV West Chennai,5.0,200
38,Up North,"NT Raintree,Teynampet, Central Chennai",4.4,2500
39,Dindigul Thalappakatti,"TA Nagar, West Chennai",4.2,700
40,Main Street,"ST Residency Towers,Thyagaraya Nagar, Central Chennai",4.2,3000
41,The Yumm Factory,"FJ Hotel,Thyagaraya Nagar, Central Chennai",4.0,800
42,The Brick Oven,"OT Accord Metropolitan Hotel,Thyagaraya Nagar, Central Chennai",4.4,2500
43,Hotel Saravana Bhavan,"BA Nagar, West Chennai",4.2,600
44,J.,"JH by GRT Hotels,Thyagaraya Nagar, Central Chennai",4.6,2500
45,Kommune,"KT Nagar, Central Chennai",4.1,1900
46,Bike and Barrel Bar,"BT Residency Towers,Thyagaraya Nagar, Central Chennai",4.1,2000
47,Locofeast,LN Central Chennai,4.2,1000
