,Hotel Name,Address,Rating (5),Price (2)
1,Smoke Hub Barbeque,"BT Nagar, Central Chennai",3.7,1800
2,Coal Barbecues,"BT Nagar, Central Chennai",4.1,1800
3,Jalpaan,JS West Chennai,4.1,1200
4,ABs - Absolute Barbecues,"BS Devi Park Hotel,Thyagaraya Nagar, Central Chennai",4.2,1850
5,Trella,"TJ Hotel,Thyagaraya Nagar, Central Chennai",4.1,1500
6,Hotel Saravana Bhavan,"BT Nagar, Central Chennai",4.0,600
7,Take 2,"2T Cine City hotel,Kodambakkam, West Chennai",4.3,1700
8,Pulusu,"PT Nagar, Central Chennai",4.0,800
9,Puducherry Hotel Sri Kamatchi,"KA Nagar, West Chennai",4.0,600
10,Arab Street,"SA Nagar, West Chennai",4.2,800
11,Madras Coffee House,"HT Nagar, Central Chennai",5.0,200
12,Idlies,"IT Nagar, Central Chennai",4.5,300
13,Paati Veedu,"VT Nagar, Central Chennai",4.0,1500
14,Barbeque Nation,"NT Nagar, Central Chennai",4.2,1800
15,Cholan Mess,MK West Chennai,3.5,500
16,Big Bang Theory - Bar & Kitchen,"KB Star Boutique Hotel,Kodambakkam, West Chennai",4.1,2000
17,Watson's,"WT Nagar, Central Chennai",4.2,1600
18,Murugan Idli Shop,"ST Nagar, Central Chennai",3.0,300
19,Murugan Idli Shop,"SW Mambalam, West Chennai",3.2,300
20,Timesquare Restobar,"RT Nagar, Central Chennai",3.8,1200
21,Spice Bar,"BT Nagar, Central Chennai",4.3,1500
22,ABs - Absolute Barbecues,"BT Nagar, Central Chennai",4.2,1800
23,Pakwan Chennai,"CT Nagar, Central Chennai",4.5,800
24,Chin Chin,"CT Residency,Thyagaraya Nagar, Central Chennai",4.4,1500
25,Murugan Idli Shop,"ST Nagar, Central Chennai",3.0,300
26,Murugan Idli Shop,"ST Nagar, Central Chennai",3.3,300
27,Express By A,"AB Nagar, Central Chennai",5.0,600
28,Curly Cravings,CK West Chennai,4.1,500
29,Chai Waale,"WT Nagar, Central Chennai",4.0,200
30,Pavilion,"PT Residency,Thyagaraya Nagar, Central Chennai",4.1,1500
31,Royal Indianaa,"IT Accord Metropolitan Hotel,Thyagaraya Nagar, Central Chennai",4.6,2400
32,Juice Forest,"FA Nagar, West Chennai",4.1,300
33,Kuuraku,"KH Green Park,Vadapalani, West Chennai",4.3,1000
34,BR Mathsya,"MT Nagar, Central Chennai",4.0,1000
35,Cafe Central,"CT Nagar, Central Chennai",4.3,800
36,Black And White,"WT Residency,Thyagaraya Nagar, Central Chennai",4.4,1500
37,Southern Station,"ST Nagar, Central Chennai",4.0,800
38,The Godown Bar,"BT Nagar, Central Chennai",4.1,1800
39,La Cabana,"CH Park Elanza,Nungambakkam, Central Chennai",4.5,2000
40,Lexxus,"LH Benzz Park,Thyagaraya Nagar, Central Chennai",4.0,1800
41,Cake Waves,"WA Nagar, West Chennai",5.0,500
42,Makers Of Milkshakes,MK West Chennai,3.0,400
43,Cibo,"CA Nagar, West Chennai",3.6,800
44,Ferraree,"FH Benzz Park,Thyagaraya Nagar, Central Chennai",4.0,900
45,Dindigul Thalappakatti,"TT Nagar, Central Chennai",4.1,700
46,Texas,"TJ Hotel,Thyagaraya Nagar, Central Chennai",4.0,1000
47,Madras Coffee House,HV West Chennai,5.0,200
48,Up North,"NT Raintree,Teynampet, Central Chennai",4.4,2500
49,Dindigul Thalappakatti,"TA Nagar, West Chennai",4.2,700
50,Main Street,"ST Residency Towers,Thyagaraya Nagar, Central Chennai",4.2,3000
51,The Yumm Factory,"FJ Hotel,Thyagaraya Nagar, Central Chennai",4.0,800
52,The Brick Oven,"OT Accord Metropolitan Hotel,Thyagaraya Nagar, Central Chennai",4.4,2500
53,Cold Fusion,"FA Nagar, West Chennai",3.5,400
54,Hotel Saravana Bhavan,"BA Nagar, West Chennai",4.2,600
55,J.,"JH by GRT Hotels,Thyagaraya Nagar, Central Chennai",4.6,2500
56,Kommune,"KT Nagar, Central Chennai",4.1,1900
57,The Noodle Theory,"TT Nagar, Central Chennai",3.9,400
58,Bike and Barrel Bar,"BT Residency Towers,Thyagaraya Nagar, Central Chennai",4.1,2000
59,Locofeast,LN Central Chennai,4.2,1000
60,Fat Monkey,"MA Nagar, West Chennai",3.6,3300
61,Dank,"DT Nagar, Central Chennai",4.3,2800
62,The Crown @ Lobby Level,"LT Residency Towers,Thyagaraya Nagar, Central Chennai",3.9,2000
63,The Earthen Foods,"FT Nagar, Central Chennai",3.8,600
64,Hotel Saravana Bhavan,BV West Chennai,3.6,600
65,Salt,"SF Vijaya Mall,Vadapalani, West Chennai",4.1,1200
66,Barbeque Nation,"NA Skywalk Mall,Aminjikarai, North Chennai",4.2,1800
